Tombo,Registro,Autor,Título,Procedencia,Exemplar,Coleção,Edição,Ano,Volume,Editora,Categorias,aquisicao
2011-07-04,20608,"NASPOLINI, Ana Tereza",TIJOLO POR TIJOLO: prática de ensino de Língua Portuguesa,PNBE,1,-,-,2009,-,FTD,Língua Portuguesa - Estudo e Ensino,T
2011-07-04,20609,"MARTINS, Miriam Celeste, PICOSQUE, Gisa e GUERRA, Maria Terezinha Telles",TEORIA E PRÁTICA NO ENSINO DE ARTE: a língua do mundo,PNBE,1,-,-,2009,-,FTD,Arte - Estudo e Ensino,T
2011-07-04,20610,"MARTINS, Maria Sílvia Cintra","ORALIDADE, ESCRITA E PAPÉIS SOCIAIS NA INFÂNCIA",PNBE,1,Gêneros e Formação,-,2009,-,MERCADO DE LETRAS,Aprendizagem,T
2011-07-04,20611,"CORREIA, Marcos Miranda",TRABALHANDO COM JOGOS COOPERATIVOS,PNBE,1,Papirus Educação,4a.,2010,-,PAPIRUS,Educação Física,T
2011-07-04,20612,"CASTROGIOVANNI, Antonio Carlos (org.)",ENSINO DE GEOGRAFIA,PNBE,1,-,7a.,2009,-,MEDIAÇÃO,Geografia - Ensino Fundamental,T
2011-07-04,20613,"NACARATI, Adair M., MENGALI, Brenda Leme da Silva e PASSOS, Carmen Lúcia B.",MATEMÁTICA NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL: tecendo fios do ensinar e do aprender,PNBE,1,Tendências em Matemática,-,2009,-,AUTÊNTICA,Matemática - Estudo e Ensino,T
2011-07-04,20614,"SMOLE, Kátia Stocco, DINIZ, Maria Ignez e CÂNDIDO, Patrícia",JOGOS DE MATEMÁTICA DE 1o. A 5o. ANO,PNBE,1,Cadernos do Mathema,-,2009,-,ARTMED,Matemática - Jogos,T
2011-07-04,20615,"PORTO, Amélia, RAMOS, Lízia e GOULART, Sheila","OLHAR COMPROMETIDO COM O ENSINO DE CIÊNCIAS, UM",PNBE,1,-,-,2009,-,FAPI,Ciências - Estudo e Ensino,T
2011-07-04,20616,"BRODBECK, Marta de Souza Lima",ENSINO DE HISTÓRIA: um processo de construção  permanente,PNBE,1,-,-,2009,-,MÓDULO,História - Estudo e Ensino,T
,20617,"COELHO, Nelly Novaes","LITERATURA INFANTIL: teoria, análise, didática",PNBE,1,-,-,2000,-,MODERNA,Lit. Infantojuvenil - História e  Crítica,T
,20618,"CAGLIARI, Luiz Carlos",ALFABETIZAÇÃO E LINGUÍSTICA,PNBE,1,Pensamento e ação na sala de aula,-,2009,-,SCIPIONE,Alfabetização,T
,20619,"RAPOPORT, Andrea, SARMENTO, Dirléia, NÖRNBERG, Marta e PACHECO, Suzana M. (ORGS.)","CRIANÇA DE 6 ANOS NO ENSINO FUNDAMENTAL, A",PNBE,1,-,-,2009,-,MEDIAÇÃO,Alfabetização,T
,20620,"NEVES, Libéria Rodrigues e SANTIAGO, Ana Lydia",USO DOS JOGOS TEATRAIS NA EDUCAÇÃO: possibilidades diante do fracasso escolar,PNBE,1,Ágere,2a.,2010,-,PAPIRUS,Teatro - Estudo e Ensino,T
,20621,"ROSSETTO JR., Adriano, ARDIGÓ JR, Ambleto, COSTA, Caio Martins e D´ANGELO, Fábio",JOGOS EDUCATIVOS: estrutura e organização da prática,PNBE,1,-,-,2009,-,PHORTE,Jogos Educativos,T
,20622,"ALMEIDA, Rosângela D. de e PASSINI, Elza Y.",ESPAÇO GEOGRÁFICO: ensino e representação,PNBE,1,Repensando o ensino,15a.,2010,-,CONTEXTO,Geografia - Estudo e Ensino,T
,20623,"NEMI, Ana; MARTINS João Carlos E ESCANHUELA, Diego Luiz",ENSINO DE HISTÓRIA E EXPERIÊNCIAS: o tempo vivido,PNBE,1,-,-,2009,-,FTD,História - Estudo e Ensino,T
,20624,"BIZZO, Nélio",CIÊNCIAS: FÁCIL OU DIFÍCIL?,PNBE,1,-,-,2009,-,BIRUTA,Ciências - Estudo e Ensino,T
,20625,"SOARES, Eduardo",ENSINAR MATEMÁTICA: desafios e possibilidades,PNBE,1,-,-,2009,-,DIMENSÃO,Matemática - Ensino Fundamental,T
,20626,"BRIZUELA, Bárbara M.",DESENVOLVIMENTO MATEMÁTICO NA CRIANÇA: explorando notações,PNBE,1,-,-,2006,-,ARTMED,Matemática - Notações,T
,20627,"TOLEDO, Márilia e TOLEDO, Mauro",TEORIA E PRÁTICA DE MATEMÁTICA,PNBE,1,-,-,2009,-,FTD,Matemática - Estudo e Ensino,T
